Country,"Women and girls, aged 15-49, who have undergone some form of FGM [FGM]",Young girls_ who have undergone some form of FGM [FGM],Percentage of women and girls who underwent FGM before age 5 [FGM],Percentage of women and girls who believe FGM should be discontinued [FGM],"Percentage of affected women and girls who were nicked, with no flesh removed [FGM]",Percentage of affected women and girls whose flesh was partly removed [FGM],Percentage of affected women and girls who were sewn closed [FGM],Percentage of FGM procedures that were performed by a doctor [FGM],"Percentage of FGM procedures that were performed by a nurse, midwife or other health worker [FGM]",Percentage of FGM procedures that were performed by a traditional excisor [FGM],Percentage of women aged 20-24 who were married before age 15 [ADOLESCENT_AND_YOUTH],Percentage of women aged 20-24 who were married before age 18 [ADOLESCENT_AND_YOUTH],Percentage of girls aged 15-19 currently married_in union [ADOLESCENT_AND_YOUTH],Percentage of women aged 20-24 currently married_in union [ADOLESCENT_AND_YOUTH],Percentage of girls aged 15-19 who have never been married [ADOLESCENT_AND_YOUTH],Percentage of women aged 20-24 who have never been married [ADOLESCENT_AND_YOUTH],Percentage of women aged 20-24 who gave birth before age 15 [ADOLESCENT_AND_YOUTH],Percentage of women aged 20-24 who gave birth before age 18 [ADOLESCENT_AND_YOUTH],"Percentage of girls, aged 15-19, who are in a marriage_union and are currently using any method of contraception [ADOLESCENT_AND_YOUTH]","Percentage of women, aged 20-24, who are in a marriage_union and are currently using any method of contraception [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 15-19, who are in a marriage_union and are currently using a modern method of contraception [ADOLESCENT_AND_YOUTH]","Percentage of women, aged 20-24, who are in a marriage_union and are currently using a modern method of contraception [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 15-19, who are in a marriage_union and have an unmet need for family planning [ADOLESCENT_AND_YOUTH]","Percentage of women, aged 20-24, who are in a marriage_union and have an unmet need for family planning [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 15-19, who are in a marriage_union and have their demand for contraception satisfied [ADOLESCENT_AND_YOUTH]","Percentage of women, aged 20-24, who are in a marriage_union and have their demand for contraception satisfied [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 15-19, who have comprehensive knowledge about HIV [ADOLESCENT_AND_YOUTH]","Percentage of women, aged 20-24, who have comprehensive knowledge about HIV [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 15-19, who have ever had sex [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 15-19, who are sexually active [ADOLESCENT_AND_YOUTH]","Proportion of women and girls, aged 15-24, involved in decision-making about contraceptive use [ADOLESCENT_AND_YOUTH]","Percentage of women and girls, aged 15-24, who think that wife beating can be justified [ADOLESCENT_AND_YOUTH]","Percentage of women and girls, aged 15-24, who have a husband_cohabiting partner who is 10 or more years older [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 10-14, residing with both parents [ADOLESCENT_AND_YOUTH]","Percentage of boys, aged 10-14, residing with both parents [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 10-14, residing with neither parent [ADOLESCENT_AND_YOUTH]","Percentage of boys, aged 10-14, residing with neither parent [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 10-14, who are out of school [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 15-19, who are out of school [ADOLESCENT_AND_YOUTH]","Percentage of boys, aged 10-14, who are out of school [ADOLESCENT_AND_YOUTH]","Percentage of boys, aged 15-19, who are out of school [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 10-14, who are in school but in the wrong grade [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 15-19, who are in school but in the wrong grade [ADOLESCENT_AND_YOUTH]","Percentage of boys, aged 10-14, who are in school but in the wrong grade [ADOLESCENT_AND_YOUTH]","Percentage of boys, aged 15-19, who are in school but in the wrong grade [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 10-14, who are in school and in the right grade [ADOLESCENT_AND_YOUTH]","Percentage of girls, aged 15-19, who are in school and in the right grade [ADOLESCENT_AND_YOUTH]","Percentage of boys, aged 10-14, who are in school and in the right grade [ADOLESCENT_AND_YOUTH]","Percentage of boys, aged 15-19, who are in school and in the right grade [ADOLESCENT_AND_YOUTH]"
BEN,,,,,,,,,,,11.0,32.0,14.0,61.0,86.0,36.0,6.0,23.0,8.0,10.0,4.0,6.0,35.0,34.0,19.0,22.0,33.0,33.0,39.0,19.0,78.0,15.0,29.0,54.0,58.0,23.0,17.0,31.0,50.0,22.0,36.0,20.0,10.0,21.0,14.0,50.0,40.0,57.0,50.0
BFA,76.0,25.0,60.0,90.0,17.0,77.0,1.0,0.0,0.0,96.0,10.0,52.0,32.0,81.0,68.0,17.0,2.0,28.0,7.0,16.0,6.0,15.0,22.0,24.0,23.0,40.0,29.0,33.0,44.0,25.0,89.0,41.0,42.0,70.0,74.0,16.0,11.0,50.0,74.0,45.0,67.0,23.0,8.0,24.0,11.0,28.0,18.0,32.0,22.0
CMR,,,,,,,,,,,13.0,38.0,24.0,62.0,74.0,32.0,6.0,30.0,16.0,22.0,12.0,16.0,26.0,25.0,39.0,47.0,14.0,19.0,50.0,24.0,89.0,49.0,39.0,49.0,49.0,27.0,24.0,17.0,42.0,11.0,28.0,25.0,13.0,30.0,22.0,59.0,45.0,59.0,51.0
TCD,,,,,,,,,,,30.0,67.0,38.0,78.0,60.0,14.0,14.0,51.0,3.0,4.0,2.0,4.0,23.0,25.0,12.0,15.0,4.0,4.0,48.0,30.0,81.0,,45.0,65.0,64.0,14.0,14.0,46.0,68.0,36.0,43.0,27.0,13.0,30.0,26.0,27.0,19.0,34.0,32.0
COM,,,,,,,,,,,10.0,32.0,16.0,53.0,80.0,42.0,4.0,17.0,,,,,47.0,43.0,29.0,31.0,18.0,21.0,20.0,13.0,64.0,43.0,38.0,50.0,56.0,25.0,20.0,10.0,29.0,10.0,25.0,32.0,19.0,36.0,26.0,58.0,53.0,53.0,49.0
COG,,,,,,,,,,,6.0,33.0,19.0,53.0,76.0,33.0,3.0,30.0,36.0,46.0,26.0,23.0,35.0,23.0,51.0,66.0,35.0,38.0,64.0,36.0,87.0,66.0,25.0,40.0,43.0,27.0,21.0,6.0,34.0,4.0,26.0,23.0,12.0,25.0,14.0,72.0,54.0,71.0,59.0
COD,,,,,,,,,,,10.0,37.0,21.0,60.0,76.0,32.0,5.0,27.0,13.0,19.0,5.0,8.0,31.0,29.0,29.0,40.0,22.0,27.0,52.0,27.0,84.0,76.0,23.0,51.0,53.0,23.0,20.0,11.0,42.0,7.0,19.0,38.0,17.0,36.0,25.0,51.0,41.0,57.0,56.0
CIV,,,,,,,,,,,10.0,33.0,21.0,56.0,78.0,40.0,6.0,31.0,11.0,17.0,7.0,12.0,27.0,33.0,29.0,34.0,18.0,22.0,65.0,33.0,80.0,51.0,45.0,42.0,45.0,34.0,28.0,38.0,72.0,25.0,52.0,23.0,11.0,29.0,21.0,39.0,17.0,46.0,27.0
DJI,93.0,,,51.0,6.0,25.0,67.0,1.0,5.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,91.0,21.0,2.0,31.0,,,,,31.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,89.0,,75.0,49.0,46.0,4.0,39.0,1.0,84.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,74.0,,,63.0,,,,,,,16.0,41.0,19.0,60.0,77.0,32.0,3.0,22.0,24.0,35.0,23.0,33.0,33.0,22.0,42.0,61.0,25.0,25.0,24.0,16.0,96.0,65.0,22.0,64.0,66.0,17.0,14.0,24.0,44.0,28.0,42.0,,42.0,,44.0,76.0,14.0,72.0,14.0
GAB,,,,,,,,,,,6.0,22.0,14.0,44.0,85.0,49.0,5.0,28.0,25.0,34.0,16.0,23.0,41.0,30.0,38.0,53.0,46.0,50.0,65.0,35.0,92.0,55.0,38.0,34.0,31.0,28.0,25.0,2.0,20.0,2.0,20.0,31.0,18.0,35.0,24.0,67.0,63.0,62.0,56.0
GMB,75.0,42.0,55.0,33.0,0.0,89.0,9.0,0.0,0.0,98.0,9.0,30.0,24.0,58.0,76.0,39.0,4.0,19.0,3.0,6.0,2.0,6.0,17.0,24.0,16.0,21.0,22.0,30.0,25.0,13.0,74.0,58.0,62.0,51.0,56.0,24.0,21.0,27.0,52.0,27.0,42.0,19.0,12.0,16.0,18.0,54.0,37.0,57.0,40.0
GHA,,,,,,,,,,,5.0,21.0,6.0,38.0,93.0,58.0,2.0,17.0,19.0,30.0,17.0,25.0,51.0,34.0,27.0,47.0,29.0,36.0,43.0,14.0,93.0,32.0,26.0,44.0,51.0,27.0,17.0,21.0,55.0,19.0,47.0,29.0,17.0,29.0,24.0,51.0,29.0,52.0,29.0
GIN,97.0,46.0,25.0,21.0,6.0,84.0,8.0,1.0,14.0,79.0,21.0,52.0,33.0,68.0,66.0,29.0,11.0,40.0,3.0,5.0,3.0,4.0,23.0,27.0,11.0,16.0,18.0,24.0,55.0,24.0,90.0,90.0,63.0,53.0,56.0,26.0,23.0,46.0,64.0,34.0,41.0,27.0,13.0,33.0,26.0,27.0,23.0,33.0,33.0
GNB,45.0,30.0,42.0,81.0,1.0,87.0,6.0,0.0,0.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,21.0,3.0,2.0,93.0,2.0,87.0,9.0,6.0,8.0,81.0,4.0,23.0,12.0,55.0,87.0,39.0,4.0,23.0,38.0,53.0,35.0,49.0,23.0,19.0,63.0,74.0,49.0,60.0,36.0,11.0,89.0,42.0,22.0,49.0,50.0,19.0,18.0,4.0,27.0,4.0,20.0,15.0,42.0,17.0,53.0,81.0,32.0,79.0,27.0
LBR,,,,,,,,,,,9.0,36.0,14.0,53.0,84.0,41.0,6.0,37.0,13.0,23.0,13.0,23.0,47.0,39.0,22.0,37.0,35.0,37.0,70.0,38.0,87.0,44.0,24.0,33.0,40.0,38.0,29.0,16.0,34.0,18.0,18.0,50.0,48.0,49.0,60.0,35.0,18.0,33.0,22.0
MWI,,,,,,,,,,,12.0,50.0,23.0,76.0,74.0,14.0,5.0,35.0,29.0,42.0,26.0,38.0,25.0,27.0,53.0,61.0,41.0,46.0,44.0,20.0,89.0,15.0,11.0,46.0,47.0,30.0,26.0,7.0,43.0,9.0,32.0,14.0,44.0,15.0,58.0,79.0,13.0,77.0,10.0
MLI,91.0,69.0,71.0,20.0,15.0,49.0,11.0,0.0,1.0,91.0,23.0,60.0,43.0,85.0,56.0,14.0,14.0,46.0,7.0,10.0,7.0,10.0,23.0,25.0,22.0,30.0,23.0,25.0,54.0,35.0,80.0,75.0,57.0,74.0,79.0,16.0,11.0,50.0,72.0,44.0,60.0,8.0,5.0,7.0,8.0,42.0,23.0,48.0,32.0
MRT,69.0,55.0,93.0,53.0,4.0,69.0,,1.0,1.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,,,,,,,,,,,14.0,48.0,37.0,75.0,60.0,15.0,8.0,40.0,6.0,12.0,6.0,11.0,23.0,23.0,20.0,33.0,27.0,33.0,66.0,37.0,85.0,22.0,18.0,42.0,44.0,28.0,25.0,21.0,58.0,20.0,41.0,21.0,26.0,24.0,42.0,58.0,16.0,56.0,18.0
NAM,,,,,,,,,,,2.0,7.0,5.0,20.0,94.0,78.0,1.0,15.0,37.0,54.0,32.0,53.0,32.0,21.0,54.0,72.0,56.0,68.0,45.0,14.0,80.0,28.0,21.0,21.0,21.0,47.0,44.0,4.0,27.0,6.0,23.0,28.0,27.0,31.0,38.0,68.0,46.0,63.0,39.0
NER,,,,,,,,,,,28.0,76.0,61.0,91.0,37.0,7.0,10.0,48.0,7.0,15.0,6.0,13.0,13.0,18.0,35.0,44.0,11.0,15.0,63.0,38.0,72.0,58.0,45.0,69.0,73.0,14.0,9.0,57.0,85.0,50.0,73.0,7.0,1.0,8.0,4.0,36.0,14.0,42.0,23.0
NGA,25.0,17.0,82.0,64.0,6.0,63.0,5.0,2.0,10.0,72.0,17.0,43.0,29.0,65.0,70.0,33.0,6.0,29.0,2.0,10.0,1.0,6.0,13.0,17.0,14.0,37.0,27.0,32.0,44.0,29.0,85.0,35.0,48.0,67.0,68.0,15.0,12.0,28.0,51.0,24.0,37.0,9.0,7.0,10.0,12.0,63.0,42.0,66.0,51.0
SEN,26.0,18.0,71.0,79.0,10.0,53.0,14.0,,,,12.0,33.0,24.0,60.0,75.0,38.0,6.0,22.0,6.0,9.0,5.0,8.0,31.0,30.0,16.0,23.0,26.0,33.0,28.0,14.0,79.0,60.0,58.0,49.0,54.0,23.0,18.0,36.0,61.0,38.0,51.0,23.0,24.0,23.0,31.0,41.0,15.0,40.0,18.0
SLE,,,,,,,,,,,13.0,39.0,19.0,59.0,80.0,38.0,10.0,36.0,8.0,14.0,8.0,14.0,31.0,26.0,20.0,35.0,28.0,30.0,64.0,33.0,78.0,59.0,43.0,42.0,44.0,34.0,30.0,20.0,42.0,23.0,32.0,33.0,25.0,32.0,33.0,47.0,33.0,45.0,35.0
SOM,98.0,,,33.0,1.0,15.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,88.0,37.0,,,,,,0.0,41.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,,,,,,,,,,,6.0,22.0,13.0,54.0,87.0,44.0,3.0,15.0,8.0,17.0,8.0,15.0,42.0,40.0,17.0,31.0,32.0,38.0,46.0,19.0,82.0,27.0,28.0,52.0,54.0,25.0,20.0,14.0,47.0,8.0,27.0,28.0,22.0,31.0,33.0,58.0,31.0,61.0,40.0
UGA,1.0,2.0,,83.0,,,,,,,10.0,40.0,20.0,67.0,77.0,24.0,7.0,33.0,14.0,23.0,13.0,20.0,31.0,35.0,31.0,39.0,36.0,41.0,45.0,19.0,89.0,61.0,20.0,55.0,57.0,21.0,18.0,6.0,42.0,6.0,27.0,33.0,36.0,31.0,52.0,61.0,23.0,64.0,21.0
ZMB,,,,,,,,,,,6.0,31.0,17.0,56.0,81.0,36.0,3.0,31.0,38.0,47.0,36.0,44.0,25.0,22.0,60.0,68.0,40.0,47.0,49.0,22.0,81.0,48.0,16.0,49.0,53.0,28.0,24.0,10.0,44.0,11.0,31.0,10.0,18.0,13.0,30.0,80.0,39.0,76.0,39.0
ZWE,,,,,,,,,,,4.0,32.0,20.0,62.0,77.0,29.0,1.0,22.0,46.0,64.0,45.0,64.0,13.0,10.0,78.0,87.0,41.0,53.0,33.0,18.0,93.0,49.0,22.0,35.0,36.0,37.0,36.0,4.0,47.0,6.0,39.0,20.0,6.0,25.0,12.0,75.0,47.0,69.0,49.0
