Country,Age dependency ratio (% of working-age population),[YEAR] Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","[YEAR] Birth rate, crude (per 1,000 people)","Completeness of birth registration, female (%)","[YEAR] Completeness of birth registration, female (%)","Completeness of birth registration, male (%)","[YEAR] Completeness of birth registration, male (%)","Death rate, crude (per 1,000 people)","[YEAR] Death rate, crude (per 1,000 people)",Female headed households (% of households with a female head),[YEAR] Female headed households (% of households with a female head),Female migrants (% of international migrant stock),[YEAR] Female migrants (% of international migrant stock),GDP (current US$),[YEAR] GDP (current US$),GDP growth (annual %),[YEAR] GDP growth (annual %),"Government expenditure on education, total (% of GDP)","[YEAR] Government expenditure on education, total (% of GDP)",Human Capital Index (HCI) (scale 0-1),[YEAR] Human Capital Index (HCI) (scale 0-1),"Human Capital Index (HCI), Female (scale 0-1)","[YEAR] Human Capital Index (HCI), Female (scale 0-1)","Human Capital Index (HCI), Male (scale 0-1)","[YEAR] Human Capital Index (HCI), Male (scale 0-1)","Life expectancy at birth, female (years)","[YEAR] Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","[YEAR] Life expectancy at birth, male (years)","Life expectancy at age 60, female (years)","[YEAR] Life expectancy at age 60, female (years)","Life expectancy at age 60, male (years)","[YEAR] Life expectancy at age 60, male (years)","Population ages 0-14, female","[YEAR] Population ages 0-14, female",Population ages 0-14 (% of total),[YEAR] Population ages 0-14 (% of total),Population ages 15-64 (% of total),[YEAR] Population ages 15-64 (% of total),"Population ages 15-64, female","[YEAR] Population ages 15-64, female","Population ages 65 and above, female","[YEAR] Population ages 65 and above, female","Population, total","[YEAR] Population, total","Population, female (% of total)","[YEAR] Population, female (% of total)","Rural population, female (% of total)","[YEAR] Rural population, female (% of total)","Rural population, male (% of total)","[YEAR] Rural population, male (% of total)","Urban population, female (% of total)","[YEAR] Urban population, female (% of total)",Women with a national identity card or equivalent foundational identity document (% of women ages 15+),[YEAR] Women with a national identity card or equivalent foundational identity document (% of women ages 15+),Sex ratio at birth (male births per female births),[YEAR] Sex ratio at birth (male births per female births),"Urban population, male (% of total)","[YEAR] Urban population, male (% of total)"
LSO,59.72589232,2019.0,26.808000000000003,2018.0,44.3,2014.0,42.4,2014.0,14.245999999999999,2018.0,35.5,2014.0,45.8573903,2019.0,2376328637.0,2019.0,-0.8057205890000001,2019.0,6.985189915,2018.0,0.371,2017.0,,,,,56.95399999999999,2018.0,50.582,2018.0,16.901144,2017.0,12.791764,2017.0,344711.0,2019.0,32.46691711,2019.0,62.60725706,2019.0,665516.0,2019.0,67097.0,2019.0,2125268.0,2019.0,50.69118374,2019.0,36.03773585,2015.0,36.6509434,2015.0,14.48113208,2015.0,67.63518,2017.0,1.0270000000000001,2018.0,12.83018868,2015.0
LBR,78.69463989,2019.0,33.042,2018.0,,,,,7.537999999999999,2018.0,33.1,2016.0,42.97708792,2019.0,3070518100.0,2019.0,-2.278245125,2019.0,2.584120035,2018.0,0.319,2017.0,0.325,2017.0,0.314,2017.0,65.11399999999999,2018.0,62.347,2018.0,17.426585,2017.0,16.208503,2017.0,986194.0,2019.0,40.75291845,2019.0,55.96138757,2019.0,1380116.0,2019.0,89948.0,2019.0,4937374.0,2019.0,49.74826699,2019.0,25.40528537,2015.0,24.89451477,2015.0,24.18387742,2015.0,,,1.054,2018.0,25.51632245,2015.0
MDG,76.71248925,2019.0,32.657,2018.0,,,,,6.055,2018.0,28.5,2016.0,43.04402588,2019.0,14114631281.0,2019.0,4.851,2019.0,2.825489998,2018.0,0.374,2017.0,0.391,2017.0,0.371,2017.0,68.301,2018.0,65.077,2018.0,17.792731,2017.0,16.46931,2017.0,5392800.0,2019.0,40.36683998,2019.0,56.58909589,2019.0,7678456.0,2019.0,445122.0,2019.0,26969307.0,2019.0,50.11763002,2019.0,32.24954613,2015.0,32.6456511,2015.0,17.89486714,2015.0,73.8947,2017.0,1.03,2018.0,17.20993563,2015.0
MWI,85.56563822,2019.0,34.118,2018.0,67.2,2016.0,67.2,2016.0,6.597,2018.0,25.6,2017.0,52.37995251,2019.0,7666704427.0,2019.0,4.3692389910000005,2019.0,4.714839935,2018.0,0.40700000000000003,2017.0,,,,,66.937,2018.0,60.651,2018.0,17.888626000000002,2017.0,14.792319,2017.0,4017699.0,2019.0,43.46868847,2019.0,53.88928735,2019.0,5130424.0,2019.0,295347.0,2019.0,18628747.0,2019.0,50.69299608,2019.0,42.07637645,2015.0,41.65463054,2015.0,7.74741464,2015.0,15.608089999999999,2017.0,1.03,2018.0,8.52157837,2015.0
MLI,99.20249208,2019.0,41.543,2018.0,85.6,2018.0,87.8,2018.0,9.686,2018.0,17.4,2018.0,49.29244175,2019.0,17279566719.0,2019.0,4.751341534,2019.0,3.787309885,2017.0,0.317,2017.0,0.315,2017.0,0.318,2017.0,59.648999999999994,2018.0,58.137,2018.0,15.595345000000002,2017.0,15.368506,2017.0,4571214.0,2019.0,47.304697,2019.0,50.20017519,2019.0,4967585.0,2019.0,274691.0,2019.0,19658031.0,2019.0,49.92102207,2019.0,30.18020788,2015.0,29.9034381,2015.0,19.39233655,2015.0,63.09101999999999,2017.0,1.05,2018.0,20.52401747,2015.0
MRT,75.57769757,2019.0,33.694,2018.0,66.0,2015.0,66.0,2015.0,7.222,2018.0,,,43.48361438,2019.0,7600656944.0,2019.0,5.931442089,2019.0,1.89546001,2019.0,0.353,2017.0,0.35700000000000004,2017.0,0.337,2017.0,66.292,2018.0,63.082,2018.0,17.531155,2017.0,15.848019,2017.0,888212.0,2019.0,39.88891432,2019.0,56.95484186,2019.0,1283548.0,2019.0,82094.0,2019.0,4525696.0,2019.0,49.80126822,2019.0,20.29411765,2015.0,19.85294118,2015.0,29.33823529,2015.0,87.96319,2017.0,1.05,2018.0,30.51470588,2015.0
MUS,41.359573100000006,2019.0,10.2,2018.0,,,,,8.5,2018.0,,,44.61159832,2019.0,14048430519.0,2019.0,3.014762911,2019.0,4.719349861,2019.0,0.626,2017.0,,,,,77.72,2018.0,71.27,2018.0,22.538424,2017.0,18.531706,2017.0,107116.0,2019.0,17.25970884,2019.0,70.74156394,2019.0,447328.0,2019.0,86251.0,2019.0,1265711.0,2019.0,50.61937354,2019.0,30.46251994,2015.0,29.8245614,2015.0,20.25518341,2015.0,,,1.042,2018.0,19.45773525,2015.0
MOZ,89.56069053,2019.0,37.52,2018.0,56.1,2015.0,53.9,2015.0,8.544,2018.0,33.4,2018.0,51.67376332,2019.0,15291448212.0,2019.0,2.2835972030000002,2019.0,5.499849796,2018.0,0.361,2017.0,,,,,62.966,2018.0,57.114,2018.0,17.20325,2017.0,14.299681,2017.0,6720071.0,2019.0,44.36800049,2019.0,52.75355334,2019.0,8355284.0,2019.0,544833.0,2019.0,30366036.0,2019.0,51.43966897,2019.0,34.96792272,2015.0,32.81837623,2015.0,16.03864022,2015.0,51.40249,2017.0,1.018,2018.0,16.17506084,2015.0
NAM,68.10668126,2019.0,28.639,2018.0,,,,,8.057,2018.0,,,46.13475144,2019.0,12366528259.0,2019.0,-1.134096127,2019.0,,,0.435,2017.0,,,,,66.18,2018.0,60.357,2018.0,17.528392,2017.0,14.310489000000002,2017.0,460376.0,2019.0,36.90591013,2019.0,59.48603545,2019.0,768531.0,2019.0,56758.0,2019.0,2494530.0,2019.0,51.53937184,2019.0,28.05183946,2015.0,25.29264214,2015.0,23.3277592,2015.0,92.44879,2017.0,1.011,2018.0,23.3277592,2015.0
NER,110.25577450000002,2019.0,46.07899999999999,2018.0,,,,,8.267999999999999,2018.0,,,52.60214644,2019.0,12911689659.0,2019.0,5.90279179,2019.0,3.547209978,2018.0,0.316,2017.0,0.312,2017.0,0.317,2017.0,63.211999999999996,2018.0,60.9,2018.0,16.794677,2017.0,15.613766,2017.0,5706375.0,2019.0,49.84216915,2019.0,47.56111943,2019.0,5579064.0,2019.0,310817.0,2019.0,23310715.0,2019.0,49.74646213,2019.0,40.306175399999994,2015.0,40.96004152,2015.0,9.257913856,2015.0,32.02088,2017.0,1.05,2018.0,9.475869227,2015.0
NGA,86.67378255,2019.0,37.905,2018.0,47.0,2017.0,47.0,2017.0,11.86,2018.0,18.0,2018.0,45.13557698,2019.0,448120000000.0,2019.0,2.208429277,2019.0,,,0.342,2017.0,0.33799999999999997,2017.0,0.345,2017.0,55.244,2018.0,53.45,2018.0,14.312354000000001,2017.0,13.770593,2017.0,42923410.0,2019.0,43.687530200000005,2019.0,53.56938646,2019.0,53304770.0,2019.0,2903547.0,2019.0,200963599.0,2019.0,49.32820049,2019.0,26.24997276,2015.0,25.97371461,2015.0,22.82153833,2015.0,,,1.0590000000000002,2018.0,24.95477431,2015.0
RWA,74.80771007,2019.0,31.695999999999998,2018.0,55.9,2015.0,56.0,2015.0,5.207999999999999,2018.0,37.6,2017.0,50.00907522,2019.0,10354417725.0,2019.0,9.428675224,2019.0,3.0737500189999998,2018.0,0.374,2017.0,0.38799999999999996,2017.0,0.361,2017.0,70.78399999999999,2018.0,66.518,2018.0,19.037588,2017.0,16.669988,2017.0,2503424.0,2019.0,39.76603218,2019.0,57.20571476,2019.0,3693085.0,2019.0,224348.0,2019.0,12626950.0,2019.0,50.85042787,2019.0,38.08834178,2015.0,33.10000805,2015.0,13.05012471,2015.0,89.3687,2017.0,1.024,2018.0,15.76152546,2015.0
STP,82.17211205,2019.0,31.538,2018.0,95.0,2014.0,96.0,2014.0,4.828,2018.0,,,50.09199632,2019.0,418637389.0,2019.0,1.301623446,2019.0,5.149069786,2018.0,,,,,,,72.583,2018.0,67.783,2018.0,18.847558,2017.0,16.07035,2017.0,44830.0,2019.0,42.14669667,2019.0,54.89314411,2019.0,58991.0,2019.0,3620.0,2019.0,215056.0,2019.0,49.95954392,2019.0,17.24137931,2015.0,17.73399015,2015.0,33.49753695,2015.0,,,1.03,2018.0,31.527093599999997,2015.0
SEN,84.97399117,2019.0,34.523,2018.0,75.7,2017.0,79.1,2017.0,5.716,2018.0,32.4,2018.0,46.95664495,2019.0,23578084052.0,2019.0,5.271192358,2019.0,4.8332800869999994,2018.0,0.418,2017.0,0.428,2017.0,0.408,2017.0,69.627,2018.0,65.501,2018.0,17.723619,2017.0,15.929018,2017.0,3444947.0,2019.0,42.83986907,2019.0,54.06165449,2019.0,4611750.0,2019.0,293233.0,2019.0,16296364.0,2019.0,51.2379941,2019.0,28.68118653,2015.0,27.59887761,2015.0,22.20069482,2015.0,72.01671999999999,2017.0,1.036,2018.0,21.51924105,2015.0
SYC,46.07960497,2019.0,17.1,2018.0,,,,,8.5,2018.0,,,29.99381092,2019.0,1703387387.0,2019.0,5.312514161,2019.0,4.421020031,2016.0,0.6779999999999999,2017.0,,,,,77.4,2018.0,68.5,2018.0,21.752301,2017.0,17.161631,2017.0,11280.0,2019.0,23.73873275,2019.0,68.45578531,2019.0,31897.0,2019.0,4341.0,2019.0,97625.0,2019.0,48.67353516,2019.0,23.15789474,2015.0,23.15789474,2015.0,26.31578947,2015.0,,,1.06,2018.0,27.36842105,2015.0
SLE,77.5317517,2019.0,33.406,2018.0,81.0,2017.0,82.0,2017.0,11.745,2018.0,25.1,2016.0,43.45137304,2019.0,4121733705.0,2019.0,5.507686457999999,2019.0,7.702280045,2019.0,0.35100000000000003,2017.0,0.35100000000000003,2017.0,0.35,2017.0,55.106,2018.0,53.468,2018.0,15.40081,2017.0,13.464004999999998,2017.0,1588142.0,2019.0,40.72431131,2019.0,56.32795207,2019.0,2194794.0,2019.0,131925.0,2019.0,7813215.0,2019.0,50.10563524,2019.0,30.73271087,2015.0,29.32426017,2015.0,19.57588226,2015.0,,,1.018,2018.0,20.3671467,2015.0
SOM,97.11700408,2019.0,41.753,2018.0,,,,,10.855,2018.0,,,47.85444361,2019.0,,,,,,,,,,,,,58.791000000000004,2018.0,55.41,2018.0,16.881844,2017.0,15.737273000000002,2017.0,3557117.0,2019.0,46.37950567,2019.0,50.73129052,2019.0,3953989.0,2019.0,231603.0,2019.0,15442905.0,2019.0,50.13764896,2019.0,30.567293,2015.0,29.88402409,2015.0,19.67095208,2015.0,,,1.03,2018.0,19.87773083,2015.0
ZAF,52.40087925,2019.0,20.51,2018.0,,,,,9.435,2018.0,42.6,2016.0,44.36033233,2019.0,351432000000.0,2019.0,0.152583317,2019.0,6.505050182000001,2019.0,0.406,2017.0,0.408,2017.0,0.36200000000000004,2017.0,67.398,2018.0,60.463,2018.0,18.342385999999998,2017.0,14.365321,2017.0,8386466.0,2019.0,28.96832505,2019.0,65.61641934,2019.0,19394844.0,2019.0,1917657.0,2019.0,58558270.0,2019.0,50.71694659,2019.0,18.65325656,2015.0,16.54639946,2015.0,32.74882225,2015.0,90.78243,2017.0,1.031,2018.0,32.05152172,2015.0
SSD,81.6360774,2019.0,35.01,2018.0,,,,,10.459000000000001,2018.0,,,48.97163891,2019.0,11997800760.0,2015.0,-10.79336463,2015.0,1.543900013,2016.0,0.302,2017.0,,,,,59.135,2018.0,56.115,2018.0,17.168588,2017.0,15.925286999999999,2017.0,2270706.0,2019.0,41.56805305,2019.0,55.05514182,2019.0,3053288.0,2019.0,201590.0,2019.0,11062113.0,2019.0,49.95052483,2019.0,40.67308484,2015.0,40.51674484,2015.0,9.273430429,2015.0,11.444469999999999,2017.0,1.04,2018.0,9.5367399,2015.0
SDN,77.88220925,2019.0,32.177,2018.0,66.0,2014.0,69.0,2014.0,7.188,2018.0,,,50.35933519,2019.0,30513456085.0,2019.0,-2.503537273,2019.0,,,0.379,2017.0,,,,,66.947,2018.0,63.277,2018.0,18.470247,2017.0,17.277527,2017.0,8476450.0,2019.0,40.15570605,2019.0,56.21697663,2019.0,12117630.0,2019.0,831202.0,2019.0,42813238.0,2019.0,50.04359049,2019.0,32.83687585,2015.0,33.35689403,2015.0,17.0015651,2015.0,,,1.04,2018.0,16.80466502,2015.0
TZA,86.79141032,2019.0,36.7,2018.0,25.0,2016.0,27.8,2016.0,6.419,2018.0,25.4,2017.0,50.62042634,2019.0,63177068175.0,2019.0,5.791371376,2019.0,3.696439981,2018.0,0.4,2017.0,0.41,2017.0,0.39,2017.0,66.824,2018.0,63.17,2018.0,17.542197,2017.0,15.785407000000001,2017.0,12572337.0,2019.0,43.84380657,2019.0,53.53565232,2019.0,15574741.0,2019.0,877763.0,2019.0,58005463.0,2019.0,50.03811624,2019.0,34.11868199,2015.0,34.27358436,2015.0,15.86123807,2015.0,,,1.03,2018.0,15.74649557,2015.0
TGO,78.20769804,2019.0,33.113,2018.0,77.0,2014.0,79.0,2014.0,8.446,2018.0,27.4,2017.0,49.38561736,2019.0,5490272413.0,2019.0,5.338669812,2019.0,5.369569778,2018.0,0.413,2017.0,0.408,2017.0,0.41600000000000004,2017.0,61.611999999999995,2018.0,59.891999999999996,2018.0,15.662932999999999,2017.0,14.811526,2017.0,1651824.0,2019.0,40.9983537,2019.0,56.11429871,2019.0,2283315.0,2019.0,126578.0,2019.0,8082366.0,2019.0,50.2540533,2019.0,30.81427775,2015.0,29.22476297,2015.0,19.82710541,2015.0,31.505909999999997,2017.0,1.018,2018.0,20.13385388,2015.0
UGA,94.03371747,2019.0,38.135,2018.0,32.2,2016.0,32.2,2016.0,6.553999999999999,2018.0,28.3,2019.0,51.75663691,2019.0,35165157017.0,2019.0,6.803326812999999,2019.0,2.130520105,2018.0,0.382,2017.0,,,,,65.173,2018.0,60.655,2018.0,17.440554000000002,2017.0,14.957594,2017.0,10199858.0,2019.0,46.50001534,2019.0,51.53743447,2019.0,11739456.0,2019.0,523111.0,2019.0,44269594.0,2019.0,50.74007354,2019.0,41.82755786,2015.0,42.07169727,2015.0,8.036670736,2015.0,80.53151,2017.0,1.03,2018.0,8.064074139,2015.0
ZMB,87.18817961,2019.0,36.192,2018.0,14.0,2018.0,14.1,2018.0,6.456,2018.0,26.8,2018.0,49.42819047,2019.0,23309773923.0,2019.0,1.4417845480000002,2019.0,4.618090153,2018.0,0.396,2017.0,,,,,66.447,2018.0,60.533,2018.0,18.189405999999998,2017.0,14.940226999999998,2017.0,3934936.0,2019.0,44.4625086,2019.0,53.42217666,2019.0,4852952.0,2019.0,229930.0,2019.0,17861030.0,2019.0,50.48879029,2019.0,29.91623711,2015.0,29.16237113,2015.0,20.23195876,2015.0,85.08901999999999,2017.0,1.031,2018.0,20.68943299,2015.0
ZWE,82.27796994,2019.0,30.676,2018.0,44.1,2015.0,42.8,2015.0,7.882999999999999,2018.0,40.6,2015.0,43.18589106,2019.0,21440758800.0,2019.0,-8.100000199,2019.0,5.871349812,2018.0,0.441,2017.0,,,,,62.598,2018.0,59.501000000000005,2018.0,17.25603,2017.0,14.380004999999999,2017.0,3075751.0,2019.0,42.15812701,2019.0,54.86126493,2019.0,4305701.0,2019.0,280665.0,2019.0,14645468.0,2019.0,52.317327,2019.0,35.02592051,2015.0,32.60002659,2015.0,15.49913598,2015.0,82.89726,2017.0,1.02,2018.0,16.87491692,2015.0
DZA,58.9904905,2019.0,24.281999999999996,2018.0,,,,,4.716,2018.0,,,47.16611462,2019.0,171091000000.0,2019.0,0.8,2019.0,,,0.523,2017.0,0.545,2017.0,0.504,2017.0,77.938,2018.0,75.494,2018.0,22.647405,2017.0,21.529799,2017.0,6439437.0,2019.0,30.55037861,2019.0,62.89684351,2019.0,13425906.0,2019.0,1438045.0,2019.0,43053054.0,2019.0,49.48171156,2019.0,14.37255433,2015.0,14.89921985,2015.0,35.08724436,2015.0,94.52059,2017.0,1.05,2018.0,35.64098147,2015.0
EGY,64.23371697,2019.0,26.379,2018.0,99.3,2014.0,99.5,2014.0,5.817,2018.0,12.9,2014.0,46.2262897,2019.0,303092000000.0,2019.0,5.557683888,2019.0,,,0.486,2017.0,0.505,2017.0,0.46799999999999997,2017.0,74.16199999999999,2018.0,69.59899999999999,2018.0,18.805335,2017.0,16.253684,2017.0,16478478.0,2019.0,33.83483016,2019.0,60.88883686,2019.0,30265075.0,2019.0,2921923.0,2019.0,100388073.0,2019.0,49.47348229,2019.0,28.01690553,2015.0,28.84801549,2015.0,21.767053100000002,2015.0,89.12357,2017.0,1.06,2018.0,21.36802588,2015.0
DJI,51.0894531,2019.0,21.465999999999998,2018.0,,,,,7.102,2018.0,,,47.41332224,2019.0,3324634256.0,2019.0,7.770497257000001,2019.0,3.6277399060000004,2018.0,,,,,,,68.778,2018.0,64.62899999999999,2018.0,18.794370999999998,2017.0,17.375183,2017.0,135739.0,2019.0,29.20497966,2019.0,66.1859567,2019.0,302586.0,2019.0,23286.0,2019.0,973560.0,2019.0,47.41478927,2019.0,11.33333333,2015.0,11.33333333,2015.0,38.44444444,2015.0,,,1.0390000000000001,2018.0,38.88888889,2015.0
LBY,48.2063677,2019.0,18.829,2018.0,,,,,5.095,2018.0,,,28.78738622,2019.0,52091152228.0,2019.0,2.535953478,2019.0,,,,,,,,,75.788,2018.0,69.895,2018.0,19.950175,2017.0,16.828112,2017.0,926049.0,2019.0,28.06827699,2019.0,67.47348414,2019.0,2263825.0,2019.0,164960.0,2019.0,6777452.0,2019.0,49.49992276,2019.0,10.97039734,2015.0,10.47965807,2015.0,39.51242678,2015.0,,,1.06,2018.0,39.03751781,2015.0
TUN,48.85286352,2019.0,17.564,2018.0,,,,,6.2620000000000005,2018.0,,,48.23078931,2019.0,38796687568.0,2019.0,1.043045338,2019.0,6.596010207999999,2015.0,0.508,2017.0,0.53,2017.0,0.488,2017.0,78.536,2018.0,74.493,2018.0,21.839724,2017.0,18.784542000000002,2017.0,1372560.0,2019.0,24.22609727,2019.0,67.18043418,2019.0,3970848.0,2019.0,553332.0,2019.0,11694719.0,2019.0,50.42224607,2019.0,16.84913218,2015.0,16.30618603,2015.0,33.64485981,2015.0,91.13336,2017.0,1.054,2018.0,33.19982198,2015.0
ERI,,,30.302,2018.0,,,,,7.162999999999999,2018.0,,,44.58729271,2019.0,,,,,,,,,,,,,68.16199999999999,2018.0,63.79,2018.0,17.356265,2017.0,15.494203,2017.0,,,,,,,,,,,,,,,38.87817184,2015.0,38.47751892,2015.0,11.17376465,2015.0,,,1.052,2018.0,11.47054459,2015.0
