Country,"Adolescent fertility rate (births per 1,000 women ages 15-19)","[YEAR] Adolescent fertility rate (births per 1,000 women ages 15-19)","Age at first marriage, female","[YEAR] Age at first marriage, female","Age at first marriage, male","[YEAR] Age at first marriage, male","Contraceptive prevalence, any methods (% of women ages 15-49)","[YEAR] Contraceptive prevalence, any methods (% of women ages 15-49)","Contraceptive prevalence, modern methods (% of women ages 15-49)","[YEAR] Contraceptive prevalence, modern methods (% of women ages 15-49)",Demand for family planning satisfied by any methods (% of married women with demand for family planning),[YEAR] Demand for family planning satisfied by any methods (% of married women with demand for family planning),Demand for family planning satisfied by modern methods (% of married women with demand for family planning),[YEAR] Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Female genital mutilation prevalence (%),[YEAR] Female genital mutilation prevalence (%),"Fertility rate, total (births per woman)","[YEAR] Fertility rate, total (births per woman)",Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),[YEAR] Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),Proportion of women who have ever experienced any form of sexual violence (% of women age 15-49),[YEAR] Proportion of women who have ever experienced any form of sexual violence (% of women age 15-49),Proportion of women who have ever experienced intimate partner violence (% of women age 15-49),[YEAR] Proportion of women who have ever experienced intimate partner violence (% of women age 15-49),Proportion of women who have sought help to stop physical or sexual violence (% of women age 15-49),[YEAR] Proportion of women who have sought help to stop physical or sexual violence (% of women age 15-49),The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),[YEAR] The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),The law provides for the valuation of nonmonetary contributions (1=yes; 0=no),[YEAR] The law provides for the valuation of nonmonetary contributions (1=yes; 0=no),Unmet need for contraception (% of married women ages 15-49),[YEAR] Unmet need for contraception (% of married women ages 15-49),Wanted fertility rate (births per woman),[YEAR] Wanted fertility rate (births per woman),"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)","[YEAR] Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",Women who believe a husband is justified in beating his wife (any of five reasons) (%),[YEAR] Women who believe a husband is justified in beating his wife (any of five reasons) (%),Women who believe a husband is justified in beating his wife when she argues with him (%),[YEAR] Women who believe a husband is justified in beating his wife when she argues with him (%),Women who believe a husband is justified in beating his wife when she burns the food (%),[YEAR] Women who believe a husband is justified in beating his wife when she burns the food (%),Women who believe a husband is justified in beating his wife when she goes out without telling him (%),[YEAR] Women who believe a husband is justified in beating his wife when she goes out without telling him (%),Women who believe a husband is justified in beating his wife when she neglects the children (%),[YEAR] Women who believe a husband is justified in beating his wife when she neglects the children (%),Women who believe a husband is justified in beating his wife when she refuses sex with him (%),[YEAR] Women who believe a husband is justified in beating his wife when she refuses sex with him (%),Women who believe a wife is justified refusing sex with her husband if she is tired or not in the mood (%),[YEAR] Women who believe a wife is justified refusing sex with her husband if she is tired or not in the mood (%),Women who believe a wife is justified refusing sex with her husband if she knows he has sex with other women (%),[YEAR] Women who believe a wife is justified refusing sex with her husband if she knows he has sex with other women (%),Women who believe a wife is justified refusing sex with her husband if she knows he has sexually transmitted disease (%),[YEAR] Women who believe a wife is justified refusing sex with her husband if she knows he has sexually transmitted disease (%),Women who were first married by age 15 (% of women ages 20-24),[YEAR] Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),[YEAR] Women who were first married by age 18 (% of women ages 20-24),A woman can apply for a passport in the same way as a man (1=yes; 0=no),[YEAR] A woman can apply for a passport in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),[YEAR] A woman can choose where to live in the same way as a man (1=yes; 0=no),A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),[YEAR] A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),[YEAR] A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can get a job in the same way as a man (1=yes; 0=no),[YEAR] A woman can get a job in the same way as a man (1=yes; 0=no),A woman can be head of household in the same way as a man (1=yes; 0=no),[YEAR] A woman can be head of household in the same way as a man (1=yes; 0=no),A woman can travel outside her home in the same way as a man (1=yes; 0=no),[YEAR] A woman can travel outside her home in the same way as a man (1=yes; 0=no),A woman can travel outside the country in the same way as a man (1=yes; 0=no),[YEAR] A woman can travel outside the country in the same way as a man (1=yes; 0=no),Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no),[YEAR] Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no),A woman has the same rights to remarry as a man (1=yes; 0=no),[YEAR] A woman has the same rights to remarry as a man (1=yes; 0=no),Men and married women have equal ownership rights to immovable property (1=yes; 0=no),[YEAR] Men and married women have equal ownership rights to immovable property (1=yes; 0=no),The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),[YEAR] The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),[YEAR] Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),There is no legal provision that requires a married woman to obey her husband (1=yes; 0=no),[YEAR] There is no legal provision that requires a married woman to obey her husband (1=yes; 0=no),A woman can sign a contract in the same way as a man (1=yes; 0=no),[YEAR] A woman can sign a contract in the same way as a man (1=yes; 0=no)
AGO,147.958,2018.0,21.5,2016.0,25.8,2016.0,13.7,2016.0,12.5,2016.0,26.4,2016.0,24.3,2016.0,,,5.519,2018.0,25.9,2016.0,8.1,2016.0,33.9,2016.0,36.2,2016.0,1.0,2019.0,1.0,2019.0,38.0,2016.0,5.2,2016.0,62.0,2016.0,25.2,2016.0,15.2,2016.0,10.5,2016.0,14.5,2016.0,16.3,2016.0,11.5,2016.0,,,46.9,2016.0,,,7.9,2016.0,30.3,2016.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
BEN,84.0364,2018.0,20.7,2018.0,25.7,2018.0,15.5,2018.0,12.4,2018.0,32.4,2018.0,25.9,2018.0,9.19999999999999,2014.0,4.836,2018.0,,,10.1,2018.0,22.4,2018.0,34.7,2018.0,0.0,2019.0,0.0,2019.0,32.3,2018.0,4.9,2018.0,35.7,2018.0,31.8,2018.0,20.8,2018.0,13.9,2018.0,21.2,2018.0,22.6,2018.0,12.8,2018.0,,,18.8,2018.0,,,9.4,2018.0,30.6,2018.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
BWA,45.358000000000004,2018.0,22.9,2017.0,,,,,,,,,,,,,2.8739999999999997,2018.0,,,,,,,,,0.0,2019.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0
BFA,102.0658,2018.0,20.0,2017.0,26.4,2017.0,31.6686126218256,2018.0,29.9216089697224,2018.0,,,55.35365,2018.0,,,5.189,2018.0,,,,,,,,,0.0,2019.0,1.0,2019.0,23.3,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
BDI,54.7516,2018.0,22.8,2016.0,26.1,2016.0,28.5,2017.0,22.9,2017.0,49.0,2017.0,39.4,2017.0,,,5.41,2018.0,27.9,2017.0,23.1,2017.0,46.7,2017.0,34.8,2017.0,0.0,2019.0,1.0,2019.0,29.7,2017.0,3.6,2017.0,44.0,2017.0,61.8,2017.0,30.1,2017.0,22.0,2017.0,39.2,2017.0,51.8,2017.0,41.8,2017.0,,,60.3,2017.0,,,2.8,2017.0,19.0,2017.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0
CPV,72.6946,2018.0,,,,,,,,,,,,,,,2.274,2018.0,,,,,,,,,1.0,2019.0,1.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
CMR,103.4938,2018.0,22.2,2014.0,28.5,2014.0,34.4,2014.0,21.0,2014.0,,,38.06727,2014.0,,,4.572,2018.0,32.7,2014.0,13.1,2018.0,36.1,2018.0,35.1,2018.0,0.0,2019.0,1.0,2019.0,23.0,2018.0,,,,,36.1,2014.0,,,,,,,,,,,,,,,,,10.7,2018.0,29.8,2018.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
CAF,126.9636,2018.0,,,,,,,,,,,,,,,4.721,2018.0,,,,,,,,,0.0,2019.0,1.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
TCD,157.9144,2018.0,18.8,2015.0,24.7,2015.0,5.7,2015.0,5.0,2015.0,19.8,2015.0,17.6,2015.0,38.4,2015.0,5.747000000000001,2018.0,17.5,2015.0,11.6,2015.0,28.6,2015.0,31.2,2015.0,0.0,2019.0,1.0,2019.0,22.9,2015.0,6.1,2015.0,27.1,2015.0,73.5,2015.0,49.8,2015.0,48.6,2015.0,59.0,2015.0,59.7,2015.0,40.6,2015.0,,,14.6,2015.0,,,29.7,2015.0,66.9,2015.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
COM,64.0606,2018.0,,,,,,,,,,,,,,,4.205,2018.0,,,,,,,,,0.0,2019.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0
COD,122.6056,2018.0,20.9,2014.0,25.5,2014.0,20.4,2014.0,7.8,2014.0,42.5,2014.0,16.3,2014.0,,,5.919,2018.0,36.8,2014.0,27.0,2014.0,50.7,2014.0,34.5,2014.0,1.0,2019.0,1.0,2019.0,27.7,2014.0,5.7,2014.0,30.7,2014.0,74.8,2014.0,57.7,2014.0,24.4,2014.0,49.1,2014.0,51.4,2014.0,43.5,2014.0,,,51.8,2014.0,,,10.0,2014.0,37.3,2014.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
COG,110.9356,2018.0,21.9,2015.0,27.5,2015.0,30.1,2015.0,18.5,2015.0,,,38.54167,2015.0,,,4.428,2018.0,,,,,,,,,0.0,2019.0,1.0,2019.0,17.9,2015.0,,,,,,,,,,,,,,,,,,,,,,,6.9,2015.0,27.3,2015.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
CIV,116.1584,2018.0,23.0,2016.0,29.2,2016.0,23.3,2018.0,19.6,2018.0,,,39.35743,2018.0,36.7,2016.0,4.649,2018.0,,,,,,,,,0.0,2019.0,1.0,2019.0,26.5,2018.0,,,,,,,,,,,,,,,,,,,,,,,7.0,2016.0,27.0,2016.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
GNQ,153.4524,2018.0,,,,,,,,,,,,,,,4.513,2018.0,,,,,,,,,0.0,2019.0,1.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0
ERI,50.7028,2018.0,,,,,,,,,,,,,,,4.056,2018.0,,,,,,,,,0.0,2019.0,1.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
SWZ,75.3554,2018.0,26.5,2014.0,,,66.1,2014.0,65.5,2014.0,,,80.53499000000001,2014.0,,,2.99,2018.0,,,,,,,,,0.0,2019.0,1.0,2019.0,15.2,2014.0,,,,,19.9,2014.0,,,,,,,,,,,,,,,,,0.8,2014.0,5.3,2014.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,0.0,2019.0
ETH,65.0748,2018.0,21.3,2016.0,25.8,2016.0,40.1,2018.0,37.8,2018.0,61.7,2016.0,62.273480000000006,2018.0,65.2,2016.0,4.247,2018.0,19.8,2016.0,10.1,2016.0,26.3,2016.0,22.5,2016.0,0.0,2019.0,1.0,2019.0,20.6,2018.0,3.6,2016.0,45.2,2016.0,63.0,2016.0,42.2,2016.0,39.8,2016.0,43.3,2016.0,47.5,2016.0,34.7,2016.0,,,73.1,2016.0,,,14.1,2016.0,40.3,2016.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,0.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0,1.0,2019.0
